,Title,URL,Rent,Min.Rent,Max.Rent,Unit.Label,Street.Address,Postal.Code,Amenities,Room.Count,lat,lng,accuracy,GoogleHumanReadable,Tract,GEOID10,NAMELSAD10,Opp_Area
1395,"Dalet Park, Chicago, IL",https://www.apartments.com/dalet-park-chicago-il/w5rnp2l/,Call for Rent,,,2 Bed,1441 W Jarvis Ave,60626,"60 lb Weight Limit,2 Pet Limit,2 Pet Limit,14 Units,Laundry Facilities,24 Hour Availability,Courtyard,Dishwasher,Ice Maker,Pantry,Kitchen,Oven,Range,Refrigerator,Freezer",2 Bed,42.0158474,-87.6677412,ROOFTOP,"1441 W Jarvis Ave, Chicago, IL 60626, USA",17031010300,17031010300,Census Tract 103,No
1531,"1200 W Sherwin Ave Unit 1J, Chicago, IL",https://www.apartments.com/1200-w-sherwin-ave-chicago-il/5x912nq/,"$1,800","1,800","1,800",2 Bed,1200 W Sherwin Ave Unit 1J,60626,Washer/Dryer,2 Bed,42.0153472,-87.6626412,ROOFTOP,"1200 W Sherwin Ave #1j, Chicago, IL 60626, USA",17031010300,17031010300,Census Tract 103,No
1981,"1521 W Sherwin, Chicago, IL",https://www.apartments.com/1521-w-sherwin-chicago-il/jw3f9e6/,"$1,250 - 1,350","1,250","1,350",2 Bed,1521 W Sherwin Ave,60626,"Built in 1930,56 Units/6 Stories,Laundry Facilities,Controlled Access,Maintenance on site,Gated,High Speed Internet Access,Heating,Smoke Free,Kitchen,Oven,Range,Refrigerator,Freezer",2 Bed,42.0146101,-87.6690527,ROOFTOP,"1521 W Sherwin Ave, Chicago, IL 60626, USA",17031010300,17031010300,Census Tract 103,No
1989,"Farcroft Apartments, Chicago, IL",https://www.apartments.com/farcroft-apartments-chicago-il/9zqntk7/,"$1,475","1,475","1,475",2 Bed,1337 W Fargo Ave,60626,"Built in 1934,84 Units/13 Stories,Laundry Facilities,Property Manager on Site,Security System,Elevator,Multi Use Room,Waterfront,Fitness Center,High Speed Internet Access,Washer/Dryer,Fireplace,Sprinkler System,Dishwasher,Disposal,Granite Countertops,Stainless Steel Appliances,Kitchen,Microwave,Oven,Range,Refrigerator,Crown Molding,Views",2 Bed,42.0168717,-87.6643601,ROOFTOP,"1337 W Fargo Ave, Chicago, IL 60626, USA",17031010300,17031010300,Census Tract 103,No
2623,"Dalet Park, Chicago, IL",https://www.apartments.com/dalet-park-chicago-il/w5rnp2l/,Call for Rent,,,3 Bed,1441 W Jarvis Ave,60626,"60 lb Weight Limit,2 Pet Limit,2 Pet Limit,14 Units,Laundry Facilities,24 Hour Availability,Courtyard,Dishwasher,Ice Maker,Pantry,Kitchen,Oven,Range,Refrigerator,Freezer",3 Bed,42.0158474,-87.6677412,ROOFTOP,"1441 W Jarvis Ave, Chicago, IL 60626, USA",17031010300,17031010300,Census Tract 103,No
110,"6611 N Sheridan Rd, Chicago, IL",https://www.apartments.com/6611-n-sheridan-rd-chicago-il/qmf222z/,$850,850,850,Studio,6611 N Sheridan Rd,60626,Laundry Facilities,Studio,42.00301,-87.660323,ROOFTOP,"6611 N Sheridan Rd, Chicago, IL 60626, USA",17031010400,17031010400,Census Tract 104,Yes
371,"1004 W Loyola Ave, Chicago, IL",https://www.apartments.com/1004-w-loyola-ave-chicago-il/gyl5ftx/,"$1,050","1,050","1,050",Condo for Rent,1004 W Loyola Ave,60626,,Studio,42.0017668,-87.6568012,ROOFTOP,"1004 W Loyola Ave, Chicago, IL 60626, USA",17031010400,17031010400,Census Tract 104,Yes
547,"Sheridan Court Apartments, Chicago, IL",https://www.apartments.com/sheridan-court-apartments-chicago-il/zd6399y/,"$825 - 1,415",825,"1,415",Studio,6801 N Sheridan Rd,60626,"24 Hour Emergency Maintenance Service,Bicycle Storage Room,Cable Ready,Ceiling Fan,Coin Laundry,Controlled Key Card Entry with Intercom and CCTV,Maintenance Staff,Studio and One Bedroom Apartments,Updated Bathrooms,$250 Fee,2 Pet Limit,$250 Fee,2 Pet Limit,Built in 1922,166 Units/9 Stories,Laundry Facilities,Controlled Access,Maintenance on site,Property Manager on Site,Security System,Video Patrol,24 Hour Availability,Shuttle to Train,On-Site Retail,Vintage Building,Gated,High Speed Internet Access,Ceiling Fans,Smoke Free,Cable Ready,Storage Units,Intercom",Studio,42.0057173,-87.6605679,ROOFTOP,"6801 N Sheridan Rd, Chicago, IL 60626, USA",17031010400,17031010400,Census Tract 104,Yes
609,"Sheridan Lake Apartments, Chicago, IL",https://www.apartments.com/sheridan-lake-apartments-chicago-il/38yqydf/,"$1,025","1,025","1,025",Studio,6401 N Sheridan Rd,60626,"$50 Monthly Pet Rent,$350 Fee,30 lb Weight Limit,1 Pet Limit,Must Be Spayed/Neutered,$25 Monthly Pet Rent,$150 Fee,15 lb Weight Limit,2 Pet Limit,Must Be Spayed/Neutered,Built in 1966,125 Units/12 Stories,Package Service,Laundry Facilities,Controlled Access,Maintenance on site,Property Manager on Site,Doorman,On-Site ATM,On-Site Retail,Recycling,Elevator,Disposal Chutes,Fitness Center,Cardio Machines,Free Weights,Weight Machines,Bike Storage,High Speed Internet Access,Wi-Fi,Air Conditioning,Heating,Ceiling Fans,Cable Ready,Tub/Shower,Handrails,Intercom,Dishwasher,Kitchen,Microwave,Oven,Range,Refrigerator,Freezer,Hardwood Floors,Tile Floors,Dining Room,Views,Walk-In Closets,Window Coverings",Studio,41.9984795,-87.6598241,ROOFTOP,"6401 N Sheridan Rd, Chicago, IL 60626, USA",17031010400,17031010400,Census Tract 104,Yes
648,"North Shore Apartments, Chicago, IL",https://www.apartments.com/north-shore-apartments-chicago-il/xnf485p/,$950,950,950,Studio,6633 N Sheridan Rd,60626,"Built in 1974,72 Units/7 Stories,Controlled Access,Maintenance on site,Elevator,Storage Space,High Speed Internet Access,Washer/Dryer Hookup,Ceiling Fans,Cable Ready,Microwave,Range,Carpet,Dining Room,Window Coverings",Studio,42.0034062,-87.6604321,ROOFTOP,"6633 N Sheridan Rd, Chicago, IL 60626, USA",17031010400,17031010400,Census Tract 104,Yes
716,"North Shore Apartments, Chicago, IL",https://www.apartments.com/north-shore-apartments-chicago-il/xnf485p/,"$1,300","1,300","1,300",1 Bed,6633 N Sheridan Rd,60626,"Built in 1974,72 Units/7 Stories,Controlled Access,Maintenance on site,Elevator,Storage Space,High Speed Internet Access,Washer/Dryer Hookup,Ceiling Fans,Cable Ready,Microwave,Range,Carpet,Dining Room,Window Coverings",1 Bed,42.0034062,-87.6604321,ROOFTOP,"6633 N Sheridan Rd, Chicago, IL 60626, USA",17031010400,17031010400,Census Tract 104,Yes
885,"1300 W Estes Ave, Chicago, IL",https://www.apartments.com/1300-w-estes-ave-chicago-il/9esc8k6/,"$1,200","1,200","1,200",1 Bed,1300 W Estes Ave,60626,Laundry Facilities,1 Bed,42.0116068,-87.6628845,RANGE_INTERPOLATED,"1300 W Estes Ave, Chicago, IL 60626, USA",17031010400,17031010400,Census Tract 104,Yes
910,"6611 N Sheridan Rd, Chicago, IL",https://www.apartments.com/6611-n-sheridan-rd-chicago-il/pf10fht/,"$1,050","1,050","1,050",1 Bed,6611 N Sheridan Rd,60626,Laundry Facilities,1 Bed,42.00301,-87.660323,ROOFTOP,"6611 N Sheridan Rd, Chicago, IL 60626, USA",17031010400,17031010400,Census Tract 104,Yes
1135,"6415 N Sheridan Rd Unit 305, Chicago, IL",https://www.apartments.com/6415-n-sheridan-rd-chicago-il/038j192/,"$1,250","1,250","1,250",1 Bed,6415 N Sheridan Rd Unit 305,60626,Laundry Facilities,1 Bed,41.9987874,-87.6602485,ROOFTOP,"6415 N Sheridan Rd #305, Chicago, IL 60626, USA",17031010400,17031010400,Census Tract 104,Yes
1139,"6415 N Sheridan Rd Unit 01401, Chicago, IL",https://www.apartments.com/6415-n-sheridan-rd-chicago-il/mkf50yk/,"$1,250","1,250","1,250",1 Bed,6415 N Sheridan Rd Unit 01401,60626,Laundry Facilities,1 Bed,41.9987874,-87.6602485,ROOFTOP,"6415 N Sheridan Rd, Chicago, IL 60626, USA",17031010400,17031010400,Census Tract 104,Yes
1146,"6415 N Sheridan Rd Unit 306, Chicago, IL",https://www.apartments.com/6415-n-sheridan-rd-chicago-il/gqt4xcz/,"$1,250","1,250","1,250",1 Bed,6415 N Sheridan Rd Unit 306,60626,Laundry Facilities,1 Bed,41.9987874,-87.6602485,ROOFTOP,"6415 N Sheridan Rd #306, Chicago, IL 60626, USA",17031010400,17031010400,Census Tract 104,Yes
1262,"Sheridan Court Apartments, Chicago, IL",https://www.apartments.com/sheridan-court-apartments-chicago-il/zd6399y/,"$1,100 - 1,550","1,100","1,550",1 Bed,6801 N Sheridan Rd,60626,"24 Hour Emergency Maintenance Service,Bicycle Storage Room,Cable Ready,Ceiling Fan,Coin Laundry,Controlled Key Card Entry with Intercom and CCTV,Maintenance Staff,Studio and One Bedroom Apartments,Updated Bathrooms,$250 Fee,2 Pet Limit,$250 Fee,2 Pet Limit,Built in 1922,166 Units/9 Stories,Laundry Facilities,Controlled Access,Maintenance on site,Property Manager on Site,Security System,Video Patrol,24 Hour Availability,Shuttle to Train,On-Site Retail,Vintage Building,Gated,High Speed Internet Access,Ceiling Fans,Smoke Free,Cable Ready,Storage Units,Intercom",1 Bed,42.0057173,-87.6605679,ROOFTOP,"6801 N Sheridan Rd, Chicago, IL 60626, USA",17031010400,17031010400,Census Tract 104,Yes
1337,"Sheridan Lake Apartments, Chicago, IL",https://www.apartments.com/sheridan-lake-apartments-chicago-il/38yqydf/,"$1,195 - 1,415","1,195","1,415",1 Bed,6401 N Sheridan Rd,60626,"$50 Monthly Pet Rent,$350 Fee,30 lb Weight Limit,1 Pet Limit,Must Be Spayed/Neutered,$25 Monthly Pet Rent,$150 Fee,15 lb Weight Limit,2 Pet Limit,Must Be Spayed/Neutered,Built in 1966,125 Units/12 Stories,Package Service,Laundry Facilities,Controlled Access,Maintenance on site,Property Manager on Site,Doorman,On-Site ATM,On-Site Retail,Recycling,Elevator,Disposal Chutes,Fitness Center,Cardio Machines,Free Weights,Weight Machines,Bike Storage,High Speed Internet Access,Wi-Fi,Air Conditioning,Heating,Ceiling Fans,Cable Ready,Tub/Shower,Handrails,Intercom,Dishwasher,Kitchen,Microwave,Oven,Range,Refrigerator,Freezer,Hardwood Floors,Tile Floors,Dining Room,Views,Walk-In Closets,Window Coverings",1 Bed,41.9984795,-87.6598241,ROOFTOP,"6401 N Sheridan Rd, Chicago, IL 60626, USA",17031010400,17031010400,Census Tract 104,Yes
2005,"Sheridan Lake Apartments, Chicago, IL",https://www.apartments.com/sheridan-lake-apartments-chicago-il/38yqydf/,"$1,550 - 1,650","1,550","1,650",2 Bed,6401 N Sheridan Rd,60626,"$50 Monthly Pet Rent,$350 Fee,30 lb Weight Limit,1 Pet Limit,Must Be Spayed/Neutered,$25 Monthly Pet Rent,$150 Fee,15 lb Weight Limit,2 Pet Limit,Must Be Spayed/Neutered,Built in 1966,125 Units/12 Stories,Package Service,Laundry Facilities,Controlled Access,Maintenance on site,Property Manager on Site,Doorman,On-Site ATM,On-Site Retail,Recycling,Elevator,Disposal Chutes,Fitness Center,Cardio Machines,Free Weights,Weight Machines,Bike Storage,High Speed Internet Access,Wi-Fi,Air Conditioning,Heating,Ceiling Fans,Cable Ready,Tub/Shower,Handrails,Intercom,Dishwasher,Kitchen,Microwave,Oven,Range,Refrigerator,Freezer,Hardwood Floors,Tile Floors,Dining Room,Views,Walk-In Closets,Window Coverings",2 Bed,41.9984795,-87.6598241,ROOFTOP,"6401 N Sheridan Rd, Chicago, IL 60626, USA",17031010400,17031010400,Census Tract 104,Yes
380,"6928 N Wayne Ave, Chicago, IL",https://www.apartments.com/6928-n-wayne-ave-chicago-il/pl9gwjs/,$725,725,725,Condo for Rent,6928 N Wayne Ave,60626,,Studio,42.0075835,-87.6654211,ROOFTOP,"6928 N Wayne Ave, Chicago, IL 60626, USA",17031010501,17031010501,Census Tract 105.01,No
